"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WESD"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-21","0.0","0.0","0.0","10.0","1.7",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-22","0.0","0.0","0.0","2.8","-1.1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-23","10.9","130.0","127.0","0.0","-1.1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-24","1.3","0.0","0.0","4.4","-3.9",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-25","4.1","0.0","0.0","6.1","3.3",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-26","0.0","0.0","0.0","7.8","1.1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-27","1.0","15.0","0.0","1.1","-3.9",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-28","0.0","0.0","0.0","2.8","-6.1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-29","0.8","0.0","0.0","10.6","-2.2",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-30","0.0","0.0","0.0","17.8","2.8",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-31","0.0","0.0","0.0","13.9","5.0",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-01","0.0","0.0","0.0","23.3","5.0",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-02","10.4","0.0","0.0","20.0","10.0",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-03","0.0","0.0","0.0","13.9","0.6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-04","0.0","0.0","0.0","16.1","-0.6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-05","0.0","0.0","0.0","20.6","8.3",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-06","3.0","0.0","0.0","17.8","5.0",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-07","1.3","0.0","0.0","9.4","4.4",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-04-08","3.0","0.0","0.0","12.2","6.1",
